00 0.3282 0.6984 0.6766 -1.2376 0.6677 0.2809 0.6718
01 0.1019 0.7826 0.7104 -1.6154 1.3428 0.0546 0.8981
02 0.2536 0.6133 0.6238 -1.7698 0.6670 0.2063 0.7464
03 0.1734 0.7284 0.6584 -0.5223 0.9581 0.1261 0.8266
04 0.3759 0.8986 0.6034 -0.9741 0.8028 0.3286 0.6241
05 0.4758 0.7618 0.7459 -1.3046 0.6049 0.4285 0.5242
06 0.1458 0.7680 0.8031 -1.4498 1.1017 0.0985 0.8542
07 0.3099 0.7861 0.6940 -1.8784 0.7734 0.2626 0.6901
08 0.4815 0.6804 0.6374 -0.7737 0.5371 0.4342 0.5185
09 0.3425 0.7054 0.8006 -1.5010 0.6602 0.2952 0.6575
10 0.5482 0.6375 0.7645 -1.9127 0.4716 0.5009 0.4518
11 0.2898 0.7218 0.6505 -0.6649 0.7344 0.2425 0.7102
12 0.4247 0.7511 0.6819 -1.1986 0.6313 0.3774 0.5753
13 0.3979 0.8476 0.7833 -1.1088 0.7360 0.3506 0.6021
14 0.1691 0.8618 0.7890 -1.6903 1.1479 0.1218 0.8309
15 0.1255 0.6131 0.7567 -0.9878 0.9479 0.0782 0.8745
16 0.5148 0.8178 0.6691 -1.3812 0.6243 0.4675 0.4852
17 0.1928 0.8862 0.6285 -0.8564 1.1055 0.1455 0.8072
18 0.2784 0.6500 0.7151 -1.0673 0.6747 0.2311 0.7216
19 0.2106 0.8759 0.7388 -0.5667 1.0454 0.1633 0.7894
20 0.4430 0.8356 0.6161 -1.7037 0.6876 0.3957 0.5570
21 0.4062 0.6620 0.8129 -1.9866 0.5689 0.3589 0.5938
22 0.2294 0.8226 0.7706 -0.8602 0.9407 0.1821 0.7706
23 0.5095 0.7366 0.6988 -0.7164 0.5652 0.4622 0.4905
24 0.3652 0.6574 0.7271 -1.5414 0.5958 0.3179 0.6348
25 0.2905 0.8231 0.6898 -1.0000 0.8364 0.2432 0.7095
